// RADIOMAP.DAT
// Radio frequency map -- flat text file, controls frequencies used to talk to flights and other agencies.
// last updated: 28th of February 2021 by Kolbe
// 
// "//" introduces a line treated as a comment
// "," delimiter
// 
// Format:  <agency_name>, <UHF1_frequency>, <VHF_frequency>, <UHF2_frequency>
// 
// <agency_name>: 		a string that identifies the flight callsign or equivalent
// <UHF1_frequency>:	This is the tactical frequency in case a flight with that callsign is the primary flight of a package.
// <VHF_frequency>:		This is the unique VHF frequency for Intra Flight comms.
// <UHF2_frequency>:	This is a backup / emergency UHF frequency in case you lose comms on VHF.
// 
// Frequencies are integers that represent radio frequencies in (kHz * 1000).
// "NONE" is used to indicate no frequency assigned to an agency in that band.
// 
// Note: frequencies are range checked so make sure to use legitimate values for
// the frequency band in question.
// 
// ========================================================================================
// FALCON BMS RADIO SPECTRUM MANAGEMENT:
// 
// VHF: Primary Aircraft (F-16s only):
// 138025 - 139975 (198 frequencies)
// 
// VHF: Secondary Aircraft (Blue Team):
// 30.025 - 37.450 and 136.025 - 143.975 (405 frequencies)
// 
// VHF: Secondary Aircraft (Red Team):
// 47.400 - 60.975 (405 frequencies)
// 
// VHF: Tertiary Fighter Aircraft (Blue & Red Team):
// 47.400 - 60.975 (126 frequencies)
// 
// VHF: Tertiary Bomber Aircraft (Blue & Red Team):
// 37.475 - 47.375 (81 frequencies)
// 
// VHF: Quarternary Aircraft (Blue & Red Team)
// 37.475 - 47.375 (216 frequencies)
// 
// VHF: Non Human flyable (Helicopters, Blue & Red Team)
// 37.475 - 47.375 (90 frequencies)
// 
// VHF: Backup frequencies (39, not used in this file):
// 30000, 31000, 32000, 33000, ... 58000, 59000, 60000, 61.000 and
// 138000, 139000, 140000, 141000, 142000, 143000, 144000
// 
// VHF: ATC Operations:
// conducted in the 118000 - 136000 range. Don't use them here.
// 
// UHF: checked against station+ils,dat (Nevada, KTO, ITO, TvT, Balkans, CET)
// 225000 - 399975 (3042 frequencies plus GUARD, ADVISORY, COMMON_TWR, COMMON_APPR)
Hobby5, 256100, 40450, 298750
Hobby6, 362925, 43600, 266675
Hobby7, 306625, 44075, 231600
Hobby8, 389525, 39075, 269825
Hobby9, 354675, 41825, 318800
Hog1, 234125, 34800, 271025
Hog2, 308825, 33925, 323800
Hog3, 330050, 136775, 291625
Hog4, 360125, 35750, 294425
Hog5, 256950, 32225, 276050
Hog6, 394175, 31150, 244225
Hog7, 323550, 36225, 267700
Hog8, 248975, 33450, 262025
Hog9, 302600, 136250, 245050
Hopper1, 365725, 51975, 241100
Hopper2, 392050, 48250, 346650
Hopper3, 310375, 56850, 341375
Hopper4, 399525, 57200, 288725
Hopper5, 353675, 48200, 313125
Hopper6, 349425, 53800, 335050
Hopper7, 273000, 58025, 230925
Hopper8, 238475, 49725, 338025
Hopper9, 337550, 59850, 320300
Hornet1, 367700, 137025, 314925
Hornet2, 228625, 141375, 237050
Hornet3, 296100, 35375, 346975
Hornet4, 341100, 33800, 241075
Hornet5, 295125, 31650, 285050
Hornet6, 262250, 36450, 344250
Hornet7, 256900, 31225, 332400
Hornet8, 339575, 136025, 242250
Hornet9, 277750, 35975, 317825
Hostage1, 357125, 52400, 331550
Hostage2, 367100, 52875, 298300
Hostage3, 233625, 52900, 292475
Hostage4, 365700, 50750, 293725
Hostage5, 293350, 58600, 320725
Hostage6, 295425, 54375, 327525
Hostage7, 239175, 55950, 335025
Hostage8, 251150, 51350, 238175
Hostage9, 274075, 47650, 347525
Hunter1, 305175, 50875, 336625
Hunter2, 311675, 51025, 238225
Hunter3, 266575, 59700, 294200
Hunter4, 251350, 50825, 297200
Hunter5, 292225, 47450, 308450
Hunter6, 246225, 57100, 263075
Hunter7, 370375, 59125, 324475
Hunter8, 325025, 57900, 306150
Hunter9, 287400, 60625, 282125
Intruder1, 252875, 43950, 260625
Intruder2, 294675, 39550, 333700
Intruder3, 345150, 46225, 322475
Intruder4, 281650, 45050, 332300
Intruder5, 286700, 41275, 247025
Intruder6, 231225, 47075, 284925
Intruder7, 359775, 40475, 227625
Intruder8, 255400, 44600, 248875
Intruder9, 373825, 42800, 327350
Jackal1, 330525, 141925, 297175
Jackal2, 268975, 138300, 275250
Jackal3, 248675, 141250, 318875
Jackal4, 268025, 138700, 236425
Jackal5, 315100, 140650, 267725
Jackal6, 324500, 141550, 283600
Jackal7, 290650, 138100, 325550
Jackal8, 379100, 140425, 277150
Jackal9, 380275, 140600, 341950
Jaguar1, 322800, 140325, 294050
Jaguar2, 290450, 141100, 274350
Jaguar3, 369850, 139075, 256150
Jaguar4, 236125, 142900, 259150
Jaguar5, 350300, 143225, 288050
Jaguar6, 234850, 142750, 331300
Jaguar7, 384675, 142575, 332250
Jaguar8, 259225, 139975, 319100
Jaguar9, 366900, 138225, 262375
Jolly1, 272150, 45500, 304725
Jolly2, 318125, 45350, 276475
Jolly3, 295525, 40125, 240325
Jolly4, 287625, 41200, 280875
Jolly5, 338925, 42775, 274425
Jolly6, 274525, 38300, 296775
Jolly7, 285975, 42450, 302250
Jolly8, 373750, 41250, 277125
Jolly9, 354800, 46300, 259100
Jumbo1, 368125, 44900, 330950
Jumbo2, 266725, 40225, 331925
Jumbo3, 295625, 38875, 267875
Jumbo4, 244325, 40500, 339600
Jumbo5, 331875, 46125, 268625
Jumbo6, 367400, 45200, 343650
Jumbo7, 389850, 44200, 228925
Jumbo8, 333225, 42600, 336125
Jumbo9, 396050, 41325, 314825
Jump1, 301175, 35175, 280425
Jump2, 315525, 137300, 329550
Jump3, 294025, 32050, 274950
Jump4, 243775, 139150, 233175
Jump5, 233000, 31525, 310625
Jump6, 311775, 33675, 319700
Jump7, 331050, 35050, 236225
Jump8, 322025, 32400, 324550
Jump9, 372725, 36175, 299125
Knight1, 245675, 50950, 271150
Knight2, 393025, 54250, 246900
Knight3, 246150, 51650, 316825
Knight4, 243875, 60125, 327650
Knight5, 279775, 49900, 297900
Knight6, 291025, 56575, 292275
Knight7, 329600, 56475, 289525
Knight8, 269025, 50375, 304925
Knight9, 252575, 57950, 295175
Lancer1, 259850, 32725, 304750
Lancer2, 352625, 31925, 308550
Lancer3, 278075, 137800, 297000
Lancer4, 250150, 33625, 293275
Lancer5, 310250, 137375, 308525
Lancer6, 343825, 34825, 301050
Lancer7, 293200, 36675, 287425
Lancer8, 290975, 136625, 239800
Lancer9, 272075, 34775, 293475
Lightning1, 392825, 33875, 262900
Lightning2, 295275, 141425, 268925
Lightning3, 340400, 33200, 264550
Lightning4, 249150, 35425, 276850
Lightning5, 298825, 32925, 231000
Lightning6, 373025, 33250, 331425
Lightning7, 305975, 32275, 298075
Lightning8, 228500, 137625, 338325
Lightning9, 396700, 33650, 272350
Lion1, 265175, 40550, 295225
Lion2, 357275, 43225, 327825
Lion3, 334725, 45325, 329375
Lion4, 244875, 41925, 297675
Lion5, 300025, 40800, 248100
Lion6, 279725, 41400, 323300
Lion7, 255925, 37675, 243200
Lion8, 309175, 44050, 244450
Lion9, 276250, 40025, 260525
Lobo1, 295250, 59725, 300875
Lobo2, 269125, 55450, 338275
Lobo3, 364825, 50800, 328975
Lobo4, 340225, 50025, 311300
Lobo5, 305850, 49575, 229325
Lobo6, 371500, 48850, 304375
Lobo7, 257575, 52575, 347600
Lobo8, 364700, 54700, 337650
Lobo9, 323275, 48050, 319075
Lynx1, 284125, 36250, 309150
Lynx2, 398150, 30500, 256175
Lynx3, 333825, 35275, 262875
Lynx4, 226250, 137200, 292675
Lynx5, 392250, 137175, 279600
Lynx6, 312950, 37150, 326600
Lynx7, 347750, 137275, 297025
Lynx8, 299950, 31400, 268175
Lynx9, 359375, 32500, 226825
Mack1, 267300, 56050, 342775
Mack2, 270225, 58625, 319525
Mack3, 324075, 57400, 345725
Mack4, 343875, 58575, 300575
Mack5, 262775, 48800, 317625
Mack6, 276225, 52025, 303825
Mack7, 266850, 60325, 274175
Mack8, 343625, 60375, 285650
Mack9, 346900, 60975, 298125
Magic1, 243325, 43825, 229400
Magic2, 358200, 44375, 303525
Magic3, 330075, 38375, 303175
Magic4, 371775, 40400, 263050
Magic5, 266800, 46375, 280850
Magic6, 363050, 38725, 343325
Magic7, 261050, 39500, 276575
Magic8, 360625, 43975, 226850
Magic9, 380050, 43625, 319675
Magnet1, 388925, 136275, 315550
Magnet2, 288325, 137525, 291150
Magnet3, 327600, 31950, 269400
Magnet4, 264450, 36275, 234625
Magnet5, 344575, 136050, 287000
Magnet6, 395600, 137825, 289625
Magnet7, 333425, 34450, 292075
Magnet8, 309925, 36375, 305075
Magnet9, 238425, 137050, 264950
Mako1, 277075, 139825, 312400
Mako2, 312875, 139550, 245500
Mako3, 381400, 141750, 240525
Mako4, 356900, 142500, 343450
Mako5, 330300, 138900, 254525
Mako6, 256550, 143150, 327375
Mako7, 369775, 141300, 226375
Mako8, 273100, 143825, 242625
Mako9, 261025, 142150, 227475
Mauler1, 381450, 52700, 296850
Mauler2, 285325, 51750, 242925
Mauler3, 338650, 55900, 282225
Mauler4, 291575, 58875, 324125
Mauler5, 241575, 50100, 264250
Mauler6, 277000, 58675, 228125
Mauler7, 374300, 51850, 268400
Mauler8, 345600, 51425, 231275
Mauler9, 272925, 53475, 237700
Mirage1, 302050, 34875, 343175
Mirage2, 228550, 32850, 251175
Mirage3, 310225, 30675, 267175
Mirage4, 339200, 136475, 313650
Mirage5, 268575, 37175, 340175
Mirage6, 375000, 33075, 289600
Mirage7, 246375, 137600, 312800
Mirage8, 280200, 136125, 283850
Mirage9, 358850, 33425, 314100
Mohawk1, 309550, 31250, 293025
Mohawk2, 318775, 142225, 258550
Mohawk3, 247725, 30800, 310950
Mohawk4, 229550, 35850, 316975
Mohawk5, 244275, 35925, 238200
Mohawk6, 247050, 137725, 225050
Mohawk7, 300125, 137925, 323225
Mohawk8, 355350, 34375, 249175
Mohawk9, 304875, 33025, 312375
Mongo1, 295100, 49225, 231475
Mongo2, 312200, 51175, 255350
Mongo3, 257450, 58400, 318525
Mongo4, 312250, 51325, 257025
Mongo5, 358100, 57175, 272000
Mongo6, 316025, 50200, 308000
Mongo7, 394500, 58325, 320350
Mongo8, 281925, 55425, 303925
Mongo9, 315475, 49050, 302275
Mudhen1, 310275, 138950, 321950
Mudhen2, 291825, 142775, 288650
Mudhen3, 310200, 143025, 280175
Mudhen4, 270625, 143100, 313450
Mudhen5, 330850, 139275, 342250
Mudhen6, 384225, 142325, 232225
Mudhen7, 351650, 138775, 232100
Mudhen8, 243025, 142200, 228950
Mudhen9, 299350, 139350, 274575
Mustang1, 226525, 139175, 285100
Mustang2, 359550, 142525, 249900
Mustang3, 267600, 139875, 285750
Mustang4, 397175, 139700, 313350
Mustang5, 309700, 143175, 275275
Mustang6, 266625, 141225, 286625
Mustang7, 369425, 142100, 317450
Mustang8, 291225, 140950, 326475
Mustang9, 321400, 139225, 334400
Nighthawk1, 344400, 37575, 318050
Nighthawk2, 374150, 41050, 341125
Nighthawk3, 309450, 43800, 331750
Nighthawk4, 265025, 39475, 309975
Nighthawk5, 319050, 40300, 329525
Nighthawk6, 255800, 47375, 294375
Nighthawk7, 399075, 42550, 251575
Nighthawk8, 383125, 38500, 323450
Nighthawk9, 238675, 46075, 333900
Nightmare1, 330350, 55625, 345650
Nightmare2, 388175, 58275, 235750
Nightmare3, 258450, 47500, 311400
Nightmare4, 236775, 50775, 314250
Nightmare5, 399125, 52450, 345950
Nightmare6, 228375, 50575, 328575
Nightmare7, 227275, 54775, 285025
Nightmare8, 332050, 49825, 271675
Nightmare9, 251450, 48775, 328700
Nightwing1, 338750, 60250, 299725
Nightwing2, 324025, 52725, 309200
Nightwing3, 363225, 52775, 292125
Nightwing4, 278575, 51675, 300925
Nightwing5, 303750, 58075, 285450
Nightwing6, 243700, 52300, 296450
Nightwing7, 321875, 58150, 293400
Nightwing8, 388350, 55375, 281225
Nightwing9, 376300, 51900, 311550
Nimrod1, 272625, 39975, 310150
Nimrod2, 366250, 38750, 341875
Nimrod3, 336250, 39250, 290725
Nimrod4, 396275, 39400, 326725
Nimrod5, 286200, 41675, 314175
Nimrod6, 323150, 43575, 321525
Nimrod7, 308625, 43275, 294875
Nimrod8, 319375, 39175, 320075
Nimrod9, 376250, 37650, 238375
Panther1, 230175, 141075, 299500
Panther2, 339975, 142850, 302875
Panther3, 352400, 138150, 340600
Panther4, 258475, 139650, 286775
Panther5, 287975, 142825, 245850
Panther6, 317950, 140275, 233550
Panther7, 334050, 138600, 276650
Panther8, 353175, 143325, 289300
Panther9, 395850, 142050, 277825
Phantom1, 295050, 33500, 310175
Phantom2, 335225, 35075, 253000
Phantom3, 227675, 138750, 326625
Phantom4, 319725, 34600, 346100
Phantom5, 329325, 141025, 228650
Phantom6, 236675, 136175, 231125
Phantom7, 397000, 34150, 255375
Phantom8, 270075, 33700, 339875
Phantom9, 230825, 136675, 266900
Plasma1, 376225, 142925, 274300
Plasma2, 368550, 143975, 321200
Plasma3, 280925, 143775, 242575
Plasma4, 366375, 141150, 347725
Plasma5, 229675, 141675, 233425
Plasma6, 396825, 139200, 301600
Plasma7, 336475, 142250, 271325
Plasma8, 323050, 140125, 278475
Plasma9, 365300, 143625, 297475
Poacher1, 371600, 57525, 338175
Poacher2, 231875, 57150, 265450
Poacher3, 395925, 51775, 268450
Poacher4, 285425, 50050, 239275
Poacher5, 319975, 53975, 247225
Poacher6, 249725, 49850, 240450
Poacher7, 292050, 60725, 258350
Poacher8, 380475, 52600, 306800
Poacher9, 227775, 53750, 332975
Prowler1, 332875, 33400, 258800
Prowler2, 294900, 37050, 329000
Prowler3, 248925, 140350, 262075
Prowler4, 247875, 32475, 264125
Prowler5, 374000, 33150, 228225
Prowler6, 314700, 33725, 302525
Prowler7, 240425, 141575, 346475
Prowler8, 370425, 32350, 307450
Prowler9, 325075, 34200, 317100
Puma1, 356975, 46250, 226725
Puma2, 299050, 44425, 318925
Puma3, 244250, 38125, 327400
Puma4, 336525, 39625, 274600
Puma5, 235300, 42675, 342150
Puma6, 227550, 41225, 291650
Puma7, 365225, 45725, 247275
Puma8, 298625, 47050, 297300
Puma9, 274450, 47200, 273325
Python1, 306550, 58375, 304425
Python2, 262550, 56925, 239550
Python3, 314400, 58125, 228175
Python4, 334175, 54450, 337275
Python5, 302700, 52375, 332350
Python6, 249675, 59300, 286025
Python7, 230350, 59875, 309750
Python8, 387975, 48275, 343600
Python9, 397225, 54675, 338350
Rafale1, 361125, 31600, 236575
Rafale2, 278425, 36925, 256325
Rafale3, 390475, 31575, 328250
Rafale4, 306650, 139250, 241975
Rafale5, 327850, 32975, 316725
Rafale6, 234575, 36475, 298050
Rafale7, 340675, 35900, 253300
Rafale8, 377650, 140150, 344375
Rafale9, 296650, 138275, 239250
Ragdoll1, 394025, 58925, 341825
Ragdoll2, 298325, 49425, 281675
Ragdoll3, 267900, 56775, 285675
Ragdoll4, 326900, 52950, 269325
Ragdoll5, 304950, 54650, 245775
Ragdoll6, 228700, 48500, 328150
Ragdoll7, 370500, 52150, 235475
Ragdoll8, 327750, 49400, 267925
Ragdoll9, 314725, 51300, 299200
Ramrod1, 297375, 136525, 259950
Ramrod2, 371125, 34325, 288375
Ramrod3, 315350, 139625, 282525
Ramrod4, 283975, 33825, 328550
Ramrod5, 332225, 32450, 286175
Ramrod6, 337175, 142700, 318025
Ramrod7, 356425, 31175, 258925
Ramrod8, 300425, 37225, 334375
Ramrod9, 235200, 36425, 332950
Rapier1, 336950, 53700, 272225
Rapier2, 284950, 60925, 311575
Rapier3, 334325, 59100, 328125
Rapier4, 280950, 48300, 280725
Rapier5, 279650, 50650, 239675
Rapier6, 307575, 49700, 323950
Rapier7, 398850, 51550, 310675
Rapier8, 300050, 60300, 249850
Rapier9, 310975, 59675, 281975
Raven1, 269700, 36200, 331125
Raven2, 299700, 32125, 264800
Raven3, 281600, 35675, 321575
Raven4, 303450, 30975, 248425
Raven5, 391650, 136900, 245400
Raven6, 384800, 136200, 296600
Raven7, 261500, 35400, 269850
Raven8, 290150, 36725, 237075
Raven9, 309075, 31675, 305775
Redtail1, 351525, 56975, 268825
Redtail2, 379175, 60350, 334675
Redtail3, 311050, 58350, 289475
Redtail4, 251625, 48225, 347375
Redtail5, 341800, 56125, 249575
Redtail6, 291925, 49600, 280525
Redtail7, 308500, 52525, 300300
Redtail8, 327575, 47900, 237600
Redtail9, 252100, 49350, 321425
Redwolf1, 255975, 59525, 345325
Redwolf2, 238450, 57500, 293925
Redwolf3, 309000, 47550, 238750
Redwolf4, 232350, 59200, 273925
Redwolf5, 335325, 52125, 310650
Redwolf6, 346575, 52625, 330550
Redwolf7, 254325, 57925, 294450
Redwolf8, 263975, 59175, 343425
Redwolf9, 387050, 48375, 256825
Rescue1, 273825, 41450, 273250
Rescue2, 392450, 39100, 332525
Rescue3, 349725, 37850, 288825
Rescue4, 291050, 42425, 277875
Rescue5, 337400, 42900, 332000
Rescue6, 330650, 44150, 309675
Rescue7, 307050, 43450, 284150
Rescue8, 271950, 46475, 339625
Rescue9, 273275, 45100, 230975
Rider1, 347300, 35775, 291450
Rider2, 282650, 35825, 268800
Rider3, 386125, 138200, 242975
Rider4, 344150, 31750, 240550
Rider5, 233725, 31700, 251000
Rider6, 262325, 143850, 297050
Rider7, 317250, 36625, 313725
Rider8, 356275, 32075, 325850
Rider9, 300500, 136600, 308375
Roach1, 395750, 31875, 298775
Roach2, 377350, 35100, 248225
Roach3, 301650, 137775, 238000
Roach4, 318650, 136100, 273425
Roach5, 369725, 30225, 246775
Roach6, 289900, 30250, 332475
Roach7, 237675, 35525, 273375
Roach8, 372125, 137575, 330275
Roach9, 252050, 137950, 242350
Rocket1, 308475, 53250, 248575
Rocket2, 369900, 59400, 283550
Rocket3, 345225, 47700, 283525
Rocket4, 255550, 55525, 308600
Rocket5, 300200, 60900, 276375
Rocket6, 247250, 48650, 243975
Rocket7, 331475, 53850, 332675
Rocket8, 341925, 57750, 328850
Rocket9, 335750, 56950, 344550
Rooster1, 264875, 37600, 258125
Rooster2, 307775, 45250, 258725
Rooster3, 393450, 39675, 300000
Rooster4, 381925, 44825, 339375
Rooster5, 353425, 42975, 233150
Rooster6, 281725, 38200, 226550
Rooster7, 384075, 37875, 297650
Rooster8, 354875, 39425, 240725
Rooster9, 316175, 42725, 320325
Rumble1, 391125, 32900, 283475
Rumble2, 280675, 137500, 243475
Rumble3, 392725, 30900, 294350
Rumble4, 263250, 30625, 240375
Rumble5, 351750, 33375, 338575
Rumble6, 231175, 136300, 243750
Rumble7, 270125, 137700, 318350
Rumble8, 228575, 35800, 335400
Rumble9, 373900, 137325, 282400
Satan1, 396125, 138125, 245650
Satan2, 267525, 143600, 229450
Satan3, 271975, 140225, 258175
Satan4, 372875, 141700, 239125
Satan5, 299675, 143525, 333375
Satan6, 246125, 142425, 325400
Satan7, 315050, 143875, 336600
Satan8, 355325, 138850, 272050
Satan9, 286675, 140375, 335450
Sawbuck1, 374325, 136425, 325525
Sawbuck2, 342350, 35500, 329175
Sawbuck3, 319325, 34500, 248025
Sawbuck4, 382900, 136950, 245575
Sawbuck5, 226975, 34225, 319150
Sawbuck6, 332375, 35025, 278975
Sawbuck7, 303675, 30550, 228450
Sawbuck8, 248550, 36300, 305350
Sawbuck9, 389025, 35200, 256025
Scout1, 329425, 57425, 302750
Scout2, 299000, 52075, 344500
Scout3, 315675, 56400, 344950
Scout4, 330325, 50125, 308925
Scout5, 236475, 50700, 273150
Scout6, 322600, 58250, 330975
Scout7, 365950, 57050, 264675
Scout8, 324250, 48025, 235850
Scout9, 313675, 49875, 335850
Screwbird1, 273075, 59050, 254175
Screwbird2, 318150, 49950, 269650
Screwbird3, 272850, 57125, 340125
Screwbird4, 392200, 54275, 250650
Screwbird5, 328900, 60750, 314950
Screwbird6, 390250, 52825, 313825
Screwbird7, 327175, 55575, 330500
Screwbird8, 320825, 54325, 228300
Screwbird9, 249925, 55100, 273125
Sentry1, 378500, 39900, 336050
Sentry2, 368625, 43550, 284450
Sentry3, 333300, 46325, 283575
Sentry4, 357775, 46675, 336225
Sentry5, 358575, 37550, 229225
Sentry6, 283300, 47100, 315175
Sentry7, 290125, 38225, 327875
Sentry8, 366300, 40650, 304575
Sentry9, 352225, 37800, 267425
Serpent1, 362850, 47775, 247750
Serpent2, 299825, 55325, 265375
Serpent3, 253750, 57075, 302375
Serpent4, 275825, 54900, 293075
Serpent5, 264650, 57675, 286050
Serpent6, 294300, 47975, 322825
Serpent7, 319750, 58525, 306050
Serpent8, 312125, 49200, 233575
Serpent9, 251975, 51725, 241225
Shark1, 283375, 38150, 345675
Shark2, 385200, 42100, 329050
Shark3, 336775, 38175, 294250
Shark4, 284975, 45025, 257125
Shark5, 356200, 45375, 280450
Shark6, 274875, 40850, 340550
Shark7, 334800, 47025, 335125
Shark8, 389550, 45300, 227750
Shark9, 324100, 40675, 296675
Sherpa1, 394100, 55650, 324625
Sherpa2, 320675, 48100, 315975
Sherpa3, 252325, 50625, 302450
Sherpa4, 391675, 58225, 234350
Sherpa5, 329100, 57575, 340025
Sherpa6, 333975, 57550, 225150
Sherpa7, 253450, 51125, 227825
Sherpa8, 263325, 52100, 279550
Sherpa9, 352275, 56825, 343300
Skyhawk1, 277700, 46975, 322900
Skyhawk2, 370075, 38600, 238725
Skyhawk3, 280000, 46925, 324775
Skyhawk4, 278175, 44875, 229975
Skyhawk5, 275525, 43900, 232025
Skyhawk6, 347975, 42475, 296950
Skyhawk7, 361750, 42650, 236325
Skyhawk8, 367925, 39300, 289025
Skyhawk9, 352125, 44325, 241825
Slick1, 386675, 31825, 281875
Slick2, 327450, 31125, 320225
Slick3, 239850, 31075, 252900
Slick4, 335300, 36800, 246525
Slick5, 336650, 35625, 269375
Slick6, 301500, 137000, 251275
Slick7, 260575, 36875, 284400
Slick8, 349125, 34750, 333075
Slick9, 354725, 36500, 285525
Smoke1, 319275, 53525, 309575
Smoke2, 303900, 56875, 231325
Smoke3, 304700, 49975, 281750
Smoke4, 260550, 55250, 313225
Smoke5, 388100, 51575, 292725
Smoke6, 361875, 48900, 316800
Smoke7, 344850, 53575, 299225
Smoke8, 227175, 50225, 251775
Smoke9, 273675, 51825, 314675
Snake1, 252425, 51275, 227150
Snake2, 340750, 55925, 241375
Snake3, 267625, 53950, 327550
Snake4, 373100, 53725, 290550
Snake5, 226775, 51250, 334125
Snake6, 268675, 57475, 264600
Snake7, 365075, 59925, 234325
Snake8, 298225, 49800, 304275
Snake9, 276750, 58825, 345300
Spade1, 300750, 141175, 260500
Spade2, 316950, 141650, 347550
Spade3, 359875, 139100, 286325
Spade4, 375850, 142650, 289950
Spade5, 385850, 139950, 341525
Spade6, 396300, 142725, 296000
Spade7, 250800, 143550, 302925
Spade8, 397750, 142400, 328475
Spade9, 266650, 138025, 273775
Sparky1, 245750, 38450, 227050
Sparky2, 342425, 42275, 310775
Sparky3, 392550, 44925, 232775
Sparky4, 276700, 44850, 298550
Sparky5, 227325, 46100, 248775
Sparky6, 232050, 41850, 260175
Sparky7, 385075, 41575, 297075
Sparky8, 313100, 46350, 338625
Sparky9, 315950, 42200, 244600
Spartan1, 268875, 38625, 302825
Spartan2, 311700, 45800, 333625
Spartan3, 301825, 45700, 336025
Spartan4, 271175, 45125, 307600
Spartan5, 227350, 44350, 338450
Spartan6, 340200, 39450, 308300
Spartan7, 324050, 46725, 344175
Spartan8, 272875, 40175, 311475
Spartan9, 229650, 42350, 229600
Spectre1, 385225, 38800, 251875
Spectre2, 242450, 45275, 331200
Spectre3, 328425, 43125, 341850
Spectre4, 257550, 46175, 274025
Spectre5, 239875, 43500, 244375
Spectre6, 238550, 39025, 229950
Spectre7, 320375, 37750, 246475
Spectre8, 377100, 41075, 244650
Spectre9, 295650, 39375, 279950
Spirit1, 349525, 38075, 344625
Spirit2, 309525, 43350, 302550
Spirit3, 249100, 40050, 328450
Spirit4, 261275, 45425, 307200
Spirit5, 375275, 37975, 266275
Spirit6, 366475, 39525, 329975
Spirit7, 379825, 39725, 300825
Spirit8, 363650, 44175, 251075
Spirit9, 373150, 43100, 242325
Stallion1, 350900, 38900, 299475
Stallion2, 322850, 41900, 228050
Stallion3, 308725, 38975, 298350
Stallion4, 363700, 43175, 286075
Stallion5, 237800, 47225, 323250
Stallion6, 394925, 40750, 314125
Stallion7, 332600, 47350, 237125
Stallion8, 319175, 40900, 306175
Stallion9, 363575, 42400, 293100
Sting1, 338775, 36575, 259725
Sting2, 339950, 35550, 347075
Sting3, 232150, 34425, 265050
Sting4, 322375, 34075, 295500
Sting5, 395375, 30125, 332425
Sting6, 371900, 34275, 247925
Sting7, 398400, 30350, 239350
Sting8, 378925, 31050, 289225
Sting9, 284500, 36775, 262825
Stingray1, 379450, 53150, 263675
Stingray2, 379550, 59900, 315925
Stingray3, 301900, 59325, 333750
Stingray4, 252350, 48075, 336300
Stingray5, 346750, 51875, 307675
Stingray6, 282250, 49750, 230950
Stingray7, 249775, 50075, 296350
Stingray8, 281825, 55700, 246175
Stingray9, 354950, 55125, 292375
Stonecat1, 301325, 57275, 225700
Stonecat2, 267325, 56375, 287600
Stonecat3, 254275, 50600, 245875
Stonecat4, 248000, 56300, 285475
Stonecat5, 351425, 53825, 328925
Stonecat6, 337625, 59775, 269250
Stonecat7, 244725, 55050, 290850
Stonecat8, 225425, 58950, 230375
Stonecat9, 236150, 54850, 338375
Stud1, 273900, 37100, 226125
Stud2, 393550, 33050, 266075
Stud3, 251025, 31300, 271050
Stud4, 275050, 30100, 250875
Stud5, 350950, 33300, 332150
Stud6, 384450, 34925, 282275
Stud7, 315325, 35150, 308050
Stud8, 301950, 31350, 246950
Stud9, 391225, 136575, 331850
Talon1, 238525, 53400, 330800
Talon2, 282725, 47950, 329775
Talon3, 315425, 57025, 290675
Talon4, 270325, 49300, 248450
Talon5, 358975, 51400, 297600
Talon6, 292550, 54825, 289200
Talon7, 356500, 56525, 288475
Talon8, 286150, 52475, 307825
Talon9, 301550, 59450, 320475
Tempest1, 331350, 60850, 273475
Tempest2, 238575, 50450, 245075
Tempest3, 293150, 50350, 307250
Tempest4, 363325, 55150, 252925
Tempest5, 317175, 56750, 279325
Tempest6, 324225, 60425, 249750
Tempest7, 227100, 56175, 259750
Tempest8, 254950, 60500, 227800
Tempest9, 342225, 58175, 284550
Texaco1, 325475, 43150, 282750
Texaco2, 253325, 39225, 232675
Texaco3, 253675, 45950, 311825
Texaco4, 368525, 40150, 299325
Texaco5, 279225, 45475, 309025
Texaco6, 293850, 47150, 264525
Texaco7, 330100, 45225, 274375
Texaco8, 357825, 38925, 255575
Texaco9, 227450, 40200, 338125
Thunder1, 335925, 38675, 288425
Thunder2, 226225, 43700, 251550
Thunder3, 381225, 44400, 337750
Thunder4, 366200, 43525, 298950
Thunder5, 264700, 38250, 260850
Thunder6, 376425, 45750, 236050
Thunder7, 239725, 41875, 297125
Thunder8, 271625, 40525, 269675
Thunder9, 241275, 44575, 225825
Tiger1, 244525, 32775, 249475
Tiger2, 335875, 33900, 338850
Tiger3, 258275, 32700, 277450
Tiger4, 393125, 35225, 232625
Tiger5, 287575, 137450, 337475
Tiger6, 344750, 32875, 250500
Tiger7, 246025, 32175, 303125
Tiger8, 330025, 37425, 260375
Tiger9, 255525, 35475, 329300
Tomcat1, 357400, 137900, 235925
Tomcat2, 264725, 136650, 307150
Tomcat3, 240075, 143275, 251425
Tomcat4, 383675, 140300, 344900
Tomcat5, 375175, 35725, 225525
Tomcat6, 392325, 136550, 265725
Tomcat7, 249550, 136500, 277725
Tomcat8, 322100, 30175, 337075
Tomcat9, 379150, 34300, 307725
Tornado1, 292100, 36075, 252250
Tornado2, 314075, 33750, 322425
Tornado3, 294750, 37300, 290075
Tornado4, 255725, 30775, 294825
Tornado5, 298725, 34125, 263025
Tornado6, 303425, 136750, 317650
