// Airframe: F-15ABCD
// Cockpit Type: F-15C
// Last edited: Oct 2025 - Van

// Search for //WIP comments
// Blender outputs incorrectly as +X,+Y,+Z, should be -Z,-X,+Y. X right, Y up, Z forward.
// <command name>   <x>   <y>   <z>   <size>   <snd>   <msbtn>   <wheel>
// Panel order: left to right, top down
// <wheel> : w means wheel , p means this button is invariant to the switch & knobs config options

/////////////////////////
//LEFT PANEL
/////////////////////////

//GND PWR Panel (n/i)

//BIT Panel (n/i)

//JTIDS
// SimF15JtidsA								0.533190	1.914193	-2.408727	20	115	1
// SimF15JtidsB								0.533190	1.914193	-2.408727	20	115	2
SimF15JtidsNorm								0.165478	1.813320	-2.214946	20	115	1
SimF15JtidsZero								0.165478	1.813320	-2.214946	20	115	2
SimF15TEWSEwwsPwrOff            			-0.274446   -1.242561   -2.277753    30    311    2
SimF15TEWSEwwsTone              			-0.274445   -1.355136   -2.266647    30    115    1
SimF15TEWSEwwsDefeat            			-0.274445   -1.355136   -2.266647    30    115    2

//ECM Panel (n/i)

//CMD Panel
SimF15Ale45DispSelInc						-0.133858   -1.534043   -2.248997    30    115    1
SimF15Ale45DispSelDec						-0.133858   -1.534043   -2.248997    30    115    2
SimF15Ale45FlareEmergJettInc				-0.112605   -1.817162   -2.229496    30    316    1
SimF15Ale45FlareEmergJettDec				-0.112605   -1.817162   -2.229496    30    316    2
SimF15Ale45ModeSelInc						-0.140364   -1.677132   -2.243760    35    124    1    w
SimF15Ale45ModeSelDec						-0.140364   -1.677132   -2.243760    35    124    2    w

//COMPASS Panel (n/i)



